Pokemon Name,Johto Morning Wild,Johto Day Wild,Johto Night Wild,Kanto Morning Wild,Kanto Day Wild,Kanto Night Wild,Old Rod Fish Groups,Good Rod Fish Groups,Super Rod Fish Groups,Gift Locations,NPC Trade Locations,Headbutt Tree Locations,Rock Smash Locations,Static Locations,Evolves From,Can be Hatched from an Egg
BULBASAUR,,,,Route 26,,,,,,,,,,,,Yes
IVYSAUR,,,,,,,,,,,,,,,BULBASAUR,No
VENUSAUR,Silver Cave Outside,,,,,,,,,,,,,,IVYSAUR,No
CHARMANDER,,,,,Route 26,,,,,,,,,,,Yes
CHARMELEON,,,,,,,,,,,,,,,CHARMANDER,No
CHARIZARD,,Silver Cave Outside,,,,,,,,,,,,,CHARMELEON,No
SQUIRTLE,,,,,,Route 26,,,,,,,,,,Yes
WARTORTLE,,,,,,,,,,,,,,,SQUIRTLE,No
BLASTOISE,,,Silver Cave Outside,,,,,,,,,,,,WARTORTLE,No
CATERPIE,"Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31","Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31",Bug Catching Contest,"Route 2, Route 24, Route 25","Route 2, Route 24, Route 25",,,,,,,Ilex Forest,,,,Yes
METAPOD,"Bug Catching Contest, Ilex Forest",Bug Catching Contest,Bug Catching Contest,"Route 24, Route 25",Route 25,,,,,,,Ilex Forest,,,CATERPIE,No
BUTTERFREE,Bug Catching Contest,Bug Catching Contest,Bug Catching Contest,"Route 2, Route 24, Route 25","Route 2, Route 24, Route 25",,,,,,,Ilex Forest,,,METAPOD,No
WEEDLE,"Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31","Bug Catching Contest, Ilex Forest, National Park, Route 30, Route 31",Bug Catching Contest,,,,,,,,,Ilex Forest,,,,Yes
KAKUNA,Bug Catching Contest,"Bug Catching Contest, Ilex Forest",Bug Catching Contest,,,,,,,,,Ilex Forest,,,WEEDLE,No
BEEDRILL,Bug Catching Contest,Bug Catching Contest,Bug Catching Contest,,,,,,,,,Ilex Forest,,,KAKUNA,No
PIDGEY,"Route 29, Route 30, Route 32, Route 35, Route 36, Route 37","Route 29, Route 30, Route 31, Route 32, Route 35, Route 36, Route 37",,"Route 1, Route 2, Route 25, Route 5","Route 1, Route 2, Route 25, Route 5",,,,,,,,,,,Yes
PIDGEOTTO,"Route 37, Route 44","Route 37, Route 44",,"Route 11, Route 13, Route 14, Route 15, Route 25, Route 5, Route 8","Route 11, Route 13, Route 14, Route 15, Route 2, Route 25, Route 5, Route 8",,,,,,,,,,PIDGEY,No
PIDGEOT,,,,,,,,,,,,,,,PIDGEOTTO,No
