trainer_group,trainer_name,team_number,comment,trainer_type,pokemon_number,level,species,nickname,item,move1,move2,move3,move4,atk_def_dv,spd_spc_dv,hp_exp,atk_exp,def_exp,spd_exp,spc_exp,happiness
FalknerGroup,FALKNER,1,FALKNER (1),TRAINERTYPE_ITEM_MOVES,1,8,PIDGEY,,NO_ITEM,TACKLE,MUD_SLAP,QUICK_ATTACK,NO_MOVE,,,,,,,,
FalknerGroup,FALKNER,1,FALKNER (1),TRAINERTYPE_ITEM_MOVES,2,10,NOCTOWL,,BERRY,TACKLE,MUD_SLAP,GROWL,PECK,,,,,,,,
FalknerGroup,FALKNER,2,FALKNER (2): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,NOCTOWL,,GOLD_BERRY,PSYCHIC_M,WING_ATTACK,HYPNOSIS,DREAM_EATER,,,,,,,,
FalknerGroup,FALKNER,2,FALKNER (2): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,SKARMORY,,NO_ITEM,SPIKES,DRILL_PECK,MUD_SLAP,STEEL_WING,,,,,,,,
FalknerGroup,FALKNER,2,FALKNER (2): Rematch,TRAINERTYPE_ITEM_MOVES,3,53,DODRIO,,FOCUS_BAND,ENDURE,FLAIL,DRILL_PECK,TRI_ATTACK,,,,,,,,
FalknerGroup,FALKNER,2,FALKNER (2): Rematch,TRAINERTYPE_ITEM_MOVES,4,54,MURKROW,,NO_ITEM,DRILL_PECK,FAINT_ATTACK,HAZE,ICY_WIND,,,,,,,,
FalknerGroup,FALKNER,2,FALKNER (2): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,PIDGEOT,,NO_ITEM,SKY_ATTACK,EXTREMESPEED,DOUBLE_TEAM,STEEL_WING,,,,,,,,
WhitneyGroup,WHITNEY,1,WHITNEY (1),TRAINERTYPE_ITEM_MOVES,1,20,CLEFAIRY,,NO_ITEM,HEADBUTT,CHARM,ICE_PUNCH,METRONOME,,,,,,,,
WhitneyGroup,WHITNEY,1,WHITNEY (1),TRAINERTYPE_ITEM_MOVES,2,20,TEDDIURSA,,NO_ITEM,HEADBUTT,METAL_CLAW,LICK,MUD_SLAP,,,,,,,,
WhitneyGroup,WHITNEY,1,WHITNEY (1),TRAINERTYPE_ITEM_MOVES,3,21,MILTANK,,MIRACLEBERRY,ROLLOUT,ATTRACT,STOMP,MILK_DRINK,,,,,,,,
WhitneyGroup,WHITNEY,2,WHITNEY (2): Rematch,TRAINERTYPE_ITEM_MOVES,1,53,CLEFABLE,,NO_ITEM,ICE_PUNCH,FIRE_PUNCH,THUNDERPUNCH,ENCORE,,,,,,,,
WhitneyGroup,WHITNEY,2,WHITNEY (2): Rematch,TRAINERTYPE_ITEM_MOVES,2,54,URSARING,,MINT_BERRY,STRENGTH,EARTHQUAKE,REST,METAL_CLAW,,,,,,,,
WhitneyGroup,WHITNEY,2,WHITNEY (2): Rematch,TRAINERTYPE_ITEM_MOVES,3,53,BLISSEY,,NO_ITEM,EGG_BOMB,ATTRACT,SOFTBOILED,LIGHT_SCREEN,,,,,,,,
WhitneyGroup,WHITNEY,2,WHITNEY (2): Rematch,TRAINERTYPE_ITEM_MOVES,4,54,TAUROS,,NO_ITEM,THRASH,EARTHQUAKE,RAGE,PURSUIT,,,,,,,,
WhitneyGroup,WHITNEY,2,WHITNEY (2): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,MILTANK,,PINK_BOW,IRON_TAIL,ATTRACT,BODY_SLAM,MILK_DRINK,,,,,,,,
BugsyGroup,BUGSY,1,BUGSY (1),TRAINERTYPE_ITEM_MOVES,1,15,PINECO,,NO_ITEM,PIN_MISSILE,HEADBUTT,MEGA_DRAIN,HARDEN,,,,,,,,
BugsyGroup,BUGSY,1,BUGSY (1),TRAINERTYPE_ITEM_MOVES,2,15,LEDIAN,,NO_ITEM,THUNDERPUNCH,COMET_PUNCH,SUPERSONIC,REFLECT,,,,,,,,
BugsyGroup,BUGSY,1,BUGSY (1),TRAINERTYPE_ITEM_MOVES,3,16,SCYTHER,,BERRY_JUICE,QUICK_ATTACK,FURY_CUTTER,CUT,PURSUIT,,,,,,,,
BugsyGroup,BUGSY,2,BUGSY (2): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,LEDIAN,,FOCUS_BAND,GIGA_DRAIN,AGILITY,BATON_PASS,LIGHT_SCREEN,,,,,,,,
BugsyGroup,BUGSY,2,BUGSY (2): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,FORRETRESS,,NO_ITEM,CURSE,EXPLOSION,PIN_MISSILE,SPIKE_CANNON,,,,,,,,
BugsyGroup,BUGSY,2,BUGSY (2): Rematch,TRAINERTYPE_ITEM_MOVES,3,53,SHUCKLE,,BERRY_JUICE,TOXIC,PROTECT,SANDSTORM,WRAP,,,,,,,,
BugsyGroup,BUGSY,2,BUGSY (2): Rematch,TRAINERTYPE_ITEM_MOVES,4,54,SCIZOR,,NO_ITEM,METAL_CLAW,TWINEEDLE,AGILITY,SUBSTITUTE,,,,,,,,
BugsyGroup,BUGSY,2,BUGSY (2): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,SCYTHER,,SCOPE_LENS,SLASH,CUT,WING_ATTACK,SWORDS_DANCE,,,,,,,,
MortyGroup,MORTY,1,MORTY (1),TRAINERTYPE_ITEM_MOVES,1,24,HAUNTER,,NO_ITEM,HYPNOSIS,NIGHTMARE,CURSE,NIGHT_SHADE,,,,,,,,
MortyGroup,MORTY,1,MORTY (1),TRAINERTYPE_ITEM_MOVES,2,23,STANTLER,,NO_ITEM,SWIFT,HYPNOSIS,NIGHTMARE,LEER,,,,,,,,
MortyGroup,MORTY,1,MORTY (1),TRAINERTYPE_ITEM_MOVES,3,24,MISDREAVUS,,NO_ITEM,SHADOW_BALL,PAIN_SPLIT,PERISH_SONG,PSYWAVE,,,,,,,,
MortyGroup,MORTY,1,MORTY (1),TRAINERTYPE_ITEM_MOVES,4,25,GENGAR,,MIRACLEBERRY,HYPNOSIS,SHADOW_BALL,MEAN_LOOK,DREAM_EATER,,,,,,,,
MortyGroup,MORTY,2,MORTY (2): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,GENGAR,,NO_ITEM,SHADOW_BALL,DESTINY_BOND,MEAN_LOOK,CONFUSE_RAY,,,,,,,,
MortyGroup,MORTY,2,MORTY (2): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,STANTLER,,PINK_BOW,SHADOW_BALL,HEADBUTT,HYPNOSIS,DREAM_EATER,,,,,,,,
MortyGroup,MORTY,2,MORTY (2): Rematch,TRAINERTYPE_ITEM_MOVES,3,54,GENGAR,,SPELL_TAG,SHADOW_BALL,GIGA_DRAIN,SLUDGE_BOMB,PSYCHIC_M,,,,,,,,
MortyGroup,MORTY,2,MORTY (2): Rematch,TRAINERTYPE_ITEM_MOVES,4,53,MISDREAVUS,,NO_ITEM,SHADOW_BALL,MEAN_LOOK,PAIN_SPLIT,PERISH_SONG,,,,,,,,
MortyGroup,MORTY,2,MORTY (2): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,GENGAR,,GOLD_BERRY,SHADOW_BALL,HYPNOSIS,THUNDERBOLT,DREAM_EATER,,,,,,,,
PryceGroup,PRYCE,1,PRYCE (1): If you battle Pryce first,TRAINERTYPE_ITEM_MOVES,1,31,DEWGONG,,NO_ITEM,SURF,AURORA_BEAM,RAIN_DANCE,REST,,,,,,,,
PryceGroup,PRYCE,1,PRYCE (1): If you battle Pryce first,TRAINERTYPE_ITEM_MOVES,2,32,SNEASEL,,NO_ITEM,FAINT_ATTACK,METAL_CLAW,REFLECT,ICY_WIND,,,,,,,,
PryceGroup,PRYCE,1,PRYCE (1): If you battle Pryce first,TRAINERTYPE_ITEM_MOVES,3,31,JYNX,,NO_ITEM,ICE_PUNCH,PSYCHIC_M,RAIN_DANCE,LOVELY_KISS,,,,,,,,
PryceGroup,PRYCE,1,PRYCE (1): If you battle Pryce first,TRAINERTYPE_ITEM_MOVES,4,33,PILOSWINE,,GOLD_BERRY,HEADBUTT,EARTHQUAKE,ROCK_SMASH,BLIZZARD,,,,,,,,
PryceGroup,PRYCE,2,PRYCE (2): If you battle Pryce second,TRAINERTYPE_ITEM_MOVES,1,33,CLOYSTER,,NO_ITEM,SURF,SPIKES,AURORA_BEAM,RAIN_DANCE,,,,,,,,
PryceGroup,PRYCE,2,PRYCE (2): If you battle Pryce second,TRAINERTYPE_ITEM_MOVES,2,34,SNEASEL,,NO_ITEM,FAINT_ATTACK,METAL_CLAW,REFLECT,ICE_PUNCH,,,,,,,,
PryceGroup,PRYCE,2,PRYCE (2): If you battle Pryce second,TRAINERTYPE_ITEM_MOVES,3,33,JYNX,,NO_ITEM,ICE_PUNCH,PSYCHIC_M,RAIN_DANCE,LOVELY_KISS,,,,,,,,
PryceGroup,PRYCE,2,PRYCE (2): If you battle Pryce second,TRAINERTYPE_ITEM_MOVES,4,34,DEWGONG,,NO_ITEM,SURF,AURORA_BEAM,SNORE,REST,,,,,,,,
PryceGroup,PRYCE,2,PRYCE (2): If you battle Pryce second,TRAINERTYPE_ITEM_MOVES,5,35,PILOSWINE,,GOLD_BERRY,HEADBUTT,EARTHQUAKE,ROCK_SMASH,BLIZZARD,,,,,,,,
PryceGroup,PRYCE,3,PRYCE (3): If you battle Pryce third,TRAINERTYPE_ITEM_MOVES,1,37,CLOYSTER,,NO_ITEM,SURF,SPIKES,AURORA_BEAM,RAIN_DANCE,,,,,,,,
PryceGroup,PRYCE,3,PRYCE (3): If you battle Pryce third,TRAINERTYPE_ITEM_MOVES,2,37,SNEASEL,,NO_ITEM,FAINT_ATTACK,METAL_CLAW,REFLECT,BLIZZARD,,,,,,,,
PryceGroup,PRYCE,3,PRYCE (3): If you battle Pryce third,TRAINERTYPE_ITEM_MOVES,3,37,JYNX,,NO_ITEM,ICE_PUNCH,PSYCHIC_M,SHADOW_BALL,LOVELY_KISS,,,,,,,,
PryceGroup,PRYCE,3,PRYCE (3): If you battle Pryce third,TRAINERTYPE_ITEM_MOVES,4,37,DEWGONG,,NO_ITEM,SURF,AURORA_BEAM,SNORE,REST,,,,,,,,
PryceGroup,PRYCE,3,PRYCE (3): If you battle Pryce third,TRAINERTYPE_ITEM_MOVES,5,38,PILOSWINE,,GOLD_BERRY,HEADBUTT,EARTHQUAKE,ROCK_SMASH,BLIZZARD,,,,,,,,
PryceGroup,PRYCE,4,PRYCE (4): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,SNEASEL,,NO_ITEM,FAINT_ATTACK,METAL_CLAW,BEAT_UP,BLIZZARD,,,,,,,,
PryceGroup,PRYCE,4,PRYCE (4): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,DEWGONG,,MIRACLEBERRY,SURF,ICE_BEAM,REST,ENCORE,,,,,,,,
PryceGroup,PRYCE,4,PRYCE (4): Rematch,TRAINERTYPE_ITEM_MOVES,3,53,JYNX,,NO_ITEM,ICE_BEAM,PSYCHIC_M,SHADOW_BALL,LOVELY_KISS,,,,,,,,
PryceGroup,PRYCE,4,PRYCE (4): Rematch,TRAINERTYPE_ITEM_MOVES,4,54,LAPRAS,,NO_ITEM,SURF,ICE_BEAM,BODY_SLAM,CONFUSE_RAY,,,,,,,,
PryceGroup,PRYCE,4,PRYCE (4): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,PILOSWINE,,SOFT_SAND,STRENGTH,EARTHQUAKE,ROCK_SMASH,BLIZZARD,,,,,,,,
JasmineGroup,JASMINE,1,JASMINE (1): If you battle Jasmine first,TRAINERTYPE_ITEM_MOVES,1,35,SKARMORY,,NO_ITEM,SPIKES,DRILL_PECK,SWAGGER,STEEL_WING,,,,,,,,
JasmineGroup,JASMINE,1,JASMINE (1): If you battle Jasmine first,TRAINERTYPE_ITEM_MOVES,2,35,CORSOLA,,NO_ITEM,RAIN_DANCE,SURF,RECOVER,ANCIENTPOWER,,,,,,,,
JasmineGroup,JASMINE,1,JASMINE (1): If you battle Jasmine first,TRAINERTYPE_ITEM_MOVES,3,35,MAGNETON,,NO_ITEM,THUNDERBOLT,TRI_ATTACK,RAIN_DANCE,THUNDER,,,,,,,,
JasmineGroup,JASMINE,1,JASMINE (1): If you battle Jasmine first,TRAINERTYPE_ITEM_MOVES,4,36,SCIZOR,,FOCUS_BAND,TWINEEDLE,METAL_CLAW,AGILITY,SWORDS_DANCE,,,,,,,,
JasmineGroup,JASMINE,1,JASMINE (1): If you battle Jasmine first,TRAINERTYPE_ITEM_MOVES,5,36,STEELIX,,QUICK_CLAW,CRUNCH,EARTHQUAKE,ROCK_SLIDE,IRON_TAIL,,,,,,,,
JasmineGroup,JASMINE,2,JASMINE (2): If you battle Jasmine second,TRAINERTYPE_ITEM_MOVES,1,35,SKARMORY,,NO_ITEM,SPIKES,DRILL_PECK,SWAGGER,STEEL_WING,,,,,,,,
JasmineGroup,JASMINE,2,JASMINE (2): If you battle Jasmine second,TRAINERTYPE_ITEM_MOVES,2,35,CORSOLA,,NO_ITEM,RAIN_DANCE,SURF,RECOVER,ANCIENTPOWER,,,,,,,,
